N,종목명,현재가,전일비,등락률,액면가,매출액,자산총계,영업이익
1.0,삼성전자,54400.0,"상승  1,000",+1.87%,100.0,2589355.0,4559060.0,65670.0
2.0,SK하이닉스,181900.0,"상승  10,700",+6.25%,5000.0,327657.0,1003302.0,-77303.0
3.0,LG에너지솔루션,356000.0,"상승  10,000",+2.89%,500.0,337455.0,454371.0,21632.0
4.0,삼성바이오로직스,940000.0,"상승  6,000",+0.64%,2500.0,36946.0,160462.0,11137.0
5.0,현대차,213000.0,"상승  1,500",+0.71%,5000.0,1626636.0,2824634.0,151269.0
6.0,기아,100700.0,하락  900,-0.89%,5000.0,998084.0,806278.0,116079.0
7.0,셀트리온,180900.0,상승  600,+0.33%,1000.0,21764.0,199175.0,6515.0
8.0,삼성전자우,45100.0,상승  400,+0.89%,100.0,,,
9.0,KB금융,83800.0,상승  400,+0.48%,5000.0,774828.0,7157382.0,64353.0
10.0,NAVER,200500.0,"상승  6,700",+3.46%,100.0,96706.0,357378.0,14888.0
11.0,HD현대중공업,285500.0,"하락  3,500",-1.21%,5000.0,119639.0,171336.0,1786.0
12.0,신한지주,48200.0,상승  450,+0.94%,5000.0,394329.0,6917953.0,61009.0
13.0,현대모비스,246500.0,"하락  2,500",-1.00%,5000.0,592544.0,585858.0,22953.0
14.0,POSCO홀딩스,259000.0,"상승  9,000",+3.60%,5000.0,771272.0,1009454.0,35314.0
15.0,삼성물산,115600.0,"상승  2,300",+2.03%,100.0,418957.0,661270.0,28702.0
16.0,메리츠금융지주,105800.0,"상승  1,600",+1.54%,500.0,585584.0,1022358.0,29335.0
17.0,고려아연,948000.0,"하락  9,000",-0.94%,5000.0,97045.0,120461.0,6599.0
18.0,삼성생명,93200.0,"상승  1,700",+1.86%,500.0,309370.0,3146551.0,23984.0
19.0,SK이노베이션,119000.0,"상승  8,000",+7.21%,5000.0,772885.0,808355.0,19039.0
20.0,LG화학,253500.0,"상승  11,000",+4.54%,5000.0,552498.0,774667.0,25292.0
21.0,삼성SDI,247000.0,"상승  7,500",+3.13%,5000.0,227083.0,340389.0,16334.0
22.0,삼성화재,356500.0,"상승  1,000",+0.28%,500.0,208247.0,850190.0,23573.0
23.0,카카오,38050.0,상승  600,+1.60%,100.0,75570.0,251800.0,4609.0
24.0,한화에어로스페이스,362000.0,"하락  1,500",-0.41%,5000.0,93590.0,195429.0,6911.0
25.0,하나금융지주,57000.0,상승  200,+0.35%,5000.0,696936.0,5919260.0,46934.0
26.0,HMM,18370.0,상승  670,+3.79%,5000.0,84010.0,257134.0,5848.0
27.0,크래프톤,335000.0,"상승  18,500",+5.85%,100.0,19106.0,64405.0,7680.0
28.0,HD한국조선해양,223000.0,"하락  8,000",-3.46%,5000.0,212962.0,322426.0,2823.0
29.0,HD현대일렉트릭,400000.0,"하락  7,000",-1.72%,5000.0,27028.0,29102.0,3152.0
30.0,LG전자,85100.0,"상승  1,100",+1.31%,5000.0,842278.0,602408.0,35491.0
31.0,KT&G,105700.0,"하락  1,400",-1.31%,5000.0,58626.0,127725.0,11673.0
32.0,한국전력,20000.0,상승  440,+2.25%,5000.0,882195.0,2397150.0,-45416.0
33.0,SK텔레콤,56700.0,상승  600,+1.07%,100.0,176085.0,301192.0,17532.0
34.0,두산에너빌리티,18200.0,상승  140,+0.78%,5000.0,175899.0,246408.0,14673.0
35.0,LG,74100.0,"상승  1,900",+2.63%,5000.0,74453.0,302531.0,15890.0
36.0,한화오션,37350.0,하락  450,-1.19%,5000.0,74083.0,139448.0,-1965.0
37.0,기업은행,14350.0,하락  30,-0.21%,5000.0,286238.0,4484273.0,34323.0
38.0,SK스퀘어,84400.0,"상승  5,800",+7.38%,100.0,2239.0,179700.0,-23397.0
39.0,포스코퓨처엠,146300.0,"상승  8,400",+6.09%,500.0,47599.0,63346.0,359.0
40.0,우리금융지주,15260.0,하락  30,-0.20%,5000.0,419863.0,4980049.0,34990.0
41.0,KT,44500.0,상승  550,+1.25%,5000.0,263763.0,427100.0,16498.0
42.0,카카오뱅크,21450.0,상승  500,+2.39%,5000.0,24940.0,544882.0,4785.0
43.0,현대글로비스,134500.0,상승  700,+0.52%,500.0,256832.0,147250.0,15540.0
44.0,삼성중공업,11410.0,하락  90,-0.78%,1000.0,80094.0,155934.0,2333.0
45.0,삼성에스디에스,128000.0,"상승  3,500",+2.81%,500.0,132768.0,123210.0,8082.0
46.0,SK,135000.0,"상승  3,000",+2.27%,200.0,1312379.0,2069703.0,50564.0
47.0,유한양행,119200.0,상승  900,+0.76%,1000.0,18590.0,28141.0,568.0
48.0,삼성전기,122300.0,하락  100,-0.08%,5000.0,89094.0,116579.0,6394.0
49.0,KODEX CD금리액티브(합성),1058960.0,상승  100,+0.01%,0.0,,,
50.0,한미반도체,93300.0,"상승  6,200",+7.12%,100.0,1590.0,7238.0,346.0
51.0,대한항공,23450.0,하락  100,-0.42%,5000.0,161118.0,303918.0,17901.0
52.0,SK바이오팜,109200.0,상승  600,+0.55%,500.0,3549.0,7232.0,-375.0
53.0,하이브,201000.0,"상승  4,700",+2.39%,500.0,21781.0,53457.0,2956.0
54.0,포스코인터내셔널,41900.0,"상승  1,800",+4.49%,5000.0,331328.0,166177.0,11631.0
55.0,DB손해보험,102600.0,보합0,0.00%,500.0,197613.0,600404.0,22350.0
56.0,TIGER 미국S&P500,21515.0,하락  95,-0.44%,0.0,,,
57.0,HD현대마린솔루션,152000.0,"하락  2,900",-1.87%,500.0,14305.0,6566.0,2015.0
58.0,HD현대,84200.0,"하락  1,400",-1.64%,1000.0,613313.0,679828.0,20316.0
59.0,S-Oil,58400.0,"상승  3,600",+6.57%,2500.0,357267.0,215761.0,13546.0
60.0,TIGER CD금리투자KIS(합성),55500.0,상승  5,+0.01%,0.0,,,
61.0,아모레퍼시픽,108100.0,"상승  4,700",+4.55%,500.0,36740.0,58865.0,1082.0
62.0,LIG넥스원,260000.0,"상승  6,000",+2.36%,5000.0,23086.0,38158.0,1864.0
63.0,현대로템,52000.0,하락  100,-0.19%,5000.0,35874.0,52415.0,2100.0
64.0,현대차2우B,157700.0,하락  100,-0.06%,5000.0,,,
65.0,삼양식품,741000.0,"상승  2,000",+0.27%,5000.0,11929.0,11703.0,1475.0
66.0,KODEX 200,32630.0,상승  640,+2.00%,0.0,,,
67.0,한국항공우주,56000.0,상승  200,+0.36%,5000.0,38193.0,71396.0,2475.0
68.0,LS ELECTRIC,174200.0,상승  800,+0.46%,5000.0,42305.0,37329.0,3249.0
69.0,HD현대미포,127900.0,"하락  6,600",-4.91%,5000.0,40391.0,49091.0,-1529.0
70.0,맥쿼리인프라,10620.0,상승  20,+0.19%,0.0,,,
71.0,한진칼,74600.0,"상승  2,400",+3.32%,2500.0,2757.0,37849.0,428.0
72.0,한국타이어앤테크놀로지,39550.0,"상승  1,400",+3.67%,500.0,89396.0,127633.0,13279.0
73.0,LG생활건강,312000.0,"상승  5,500",+1.79%,5000.0,68048.0,72203.0,4870.0
74.0,코웨이,65400.0,"하락  1,600",-2.39%,500.0,39665.0,48510.0,7313.0
75.0,두산,289500.0,"상승  24,500",+9.25%,5000.0,191301.0,282868.0,14363.0
76.0,미래에셋증권,8140.0,상승  110,+1.37%,5000.0,203566.0,1281773.0,5210.0
77.0,에코프로머티,66100.0,"상승  4,300",+6.96%,500.0,9525.0,11042.0,88.0
78.0,LG디스플레이,9190.0,상승  130,+1.43%,5000.0,213308.0,357593.0,-25102.0
79.0,LG유플러스,10450.0,상승  70,+0.67%,5000.0,143726.0,201006.0,9980.0
